product_id,quantity,price
537,100,334.46
531,32,987.18
618,23,784.87
912,62,345.7
783,24,220.9
85,80,677.71
78,62,839.32
928,41,932.87
991,63,350.41
644,58,883.57
392,82,690.24
238,88,489.65
100,49,985.65
965,73,242.29
608,100,728.21
545,29,93.83
893,28,178.0
9,79,911.88
162,83,220.84
154,37,761.53
338,12,604.21
51,71,842.72
150,88,374.43
38,97,346.88
719,70,298.3
151,84,868.75
494,66,607.94
268,27,954.76
292,49,888.39
713,79,143.99
895,53,555.66
331,47,113.23
661,38,48.75
105,15,82.46
550,35,867.51
235,28,790.24
982,99,830.22
536,18,347.49
147,55,619.03
572,39,784.08
168,28,384.26
424,7,575.07
982,91,231.48
22,32,90.93
928,97,274.06
401,2,891.86
136,3,568.8
216,32,925.82
59,96,463.19
891,27,284.41
72,17,789.14
394,4,829.49
798,65,22.26
662,12,673.71
665,26,100.77
952,11,123.95
55,67,886.21
38,53,49.62
872,28,247.24
769,89,988.28
891,83,426.8
343,49,124.4
160,89,175.71
390,26,249.01
494,78,746.57
76,90,111.81
835,62,911.66
517,98,384.49
448,73,970.56
148,49,910.13
976,40,301.08
102,84,260.88
836,28,482.24
832,100,109.13
814,15,655.53
442,71,49.22
874,81,20.4
752,90,982.76
788,83,302.59
283,42,600.6
911,7,455.35
345,20,320.15
709,71,72.34
269,89,914.26
354,67,970.12
289,69,970.1
151,29,120.25
192,94,223.04
228,88,621.63
480,72,980.15
194,60,547.48
546,80,691.31
886,53,665.22
868,53,266.5
106,78,546.19
12,40,314.25
990,80,253.92
629,6,90.56
316,7,287.98
567,87,983.54
18,27,453.42
393,59,655.49
270,30,647.03
30,96,941.33
292,5,396.57
576,96,313.72
586,56,333.97
688,55,323.57
989,55,848.66
116,49,894.57
611,72,309.78
308,7,340.99
43,8,548.78
285,46,583.2
7,49,600.0
362,41,252.65
616,25,30.17
56,15,251.32
776,91,81.6
924,43,555.69
373,29,80.21
817,18,84.38
288,54,639.03
592,58,297.91
22,8,794.26
66,34,498.33
55,56,864.02
852,17,162.64
263,89,506.42
8,98,797.03
423,75,86.34
541,30,949.74
8,8,181.51
867,32,778.45
704,84,985.05
512,1,823.33
481,71,326.59
406,38,115.81
366,66,519.21
754,12,920.16
86,23,300.55
778,17,894.82
341,16,150.26
353,60,911.38
552,80,41.44
261,4,322.91
642,90,904.06
631,78,805.82
206,48,908.08
371,94,842.31
154,68,748.72
266,1,692.7
140,36,186.37
864,63,438.31
586,85,166.32
401,80,717.68
477,92,671.1
816,75,260.06
229,72,73.77
381,30,963.75
55,39,810.17
977,20,553.78
32,91,545.96
885,4,852.78
653,61,458.78
898,61,401.75
282,57,345.28
691,43,265.39
378,29,34.16
921,62,649.97
697,95,422.52
723,16,574.9
429,66,71.7
31,85,361.39
836,85,146.9
687,42,133.88
26,7,266.52
479,65,830.65
855,33,403.82
194,29,407.07
901,65,616.32
96,40,241.19
975,52,17.4
318,50,533.41
248,1,505.89
575,18,652.35
521,8,443.93
225,76,689.65
889,68,734.11
308,90,245.99
259,36,500.12
127,19,484.04
2,3,232.81
745,91,418.12
385,98,564.8
616,75,907.87
782,78,918.53
873,66,282.47
392,92,649.95
614,51,57.72
519,34,80.84
614,97,516.57
5,15,878.65
331,57,167.87
274,94,768.37
462,68,884.18
482,18,318.68
987,96,695.63
690,41,850.5
42,43,377.9
39,35,704.27
365,5,739.05
715,53,598.63
924,40,857.71
729,61,897.64
710,63,960.48
340,31,575.52
389,18,184.51
875,60,258.09
704,65,225.44
90,9,573.82
157,13,760.17
750,79,61.61
722,21,684.82
246,38,719.98
20,94,354.5
708,86,519.91
820,84,173.15
263,44,732.6
965,100,50.3
936,67,981.41
759,93,809.86
318,33,632.16
378,77,274.85
945,100,913.73
418,93,959.84
373,8,147.73
192,53,778.0
579,76,843.51
137,98,663.12
630,81,703.4
703,92,450.61
283,29,925.06
600,69,971.5
831,8,388.53
30,4,804.68
399,24,438.59
292,25,173.11
122,75,332.21
795,98,135.07
561,78,909.8
960,68,959.83
590,38,127.99
455,76,604.67
807,97,414.14
86,24,126.91
34,34,302.52
582,56,255.73
696,61,752.08
75,93,13.97
382,34,197.94
600,78,444.39
529,63,30.82
817,27,631.25
600,17,609.57
770,24,836.98
48,17,214.54
349,11,291.93
428,16,546.92
555,18,280.49
444,3,589.88
278,38,258.37
986,34,686.69
479,48,793.18
781,5,810.57
217,18,973.88
370,14,549.92
665,43,495.9
965,48,857.14
239,48,771.38
427,63,574.84
265,71,389.42
331,23,291.21
462,55,117.06
817,5,809.47
7,60,126.89
886,49,749.79
780,49,549.83
317,35,965.3
352,81,763.46
829,75,973.78
960,98,145.23
332,2,505.37
776,5,576.85
108,26,318.14
406,77,508.0
998,43,363.25
845,1,533.11
919,42,10.84
611,35,447.89
566,73,455.06
55,89,311.75
844,5,405.41
868,9,785.26
762,66,686.58
39,96,497.38
245,74,651.19
444,67,383.78
522,45,211.87
240,61,13.84
404,98,284.85
767,87,602.18
566,22,882.85
522,56,831.13
950,61,515.85
922,19,987.15
649,90,466.97
603,62,836.25
248,6,414.88
229,58,747.18
938,76,987.72
600,62,312.28
746,51,178.61
777,88,623.83
55,14,535.65
394,6,365.83
832,50,13.48
294,5,395.27
915,55,431.61
764,89,411.2
370,2,862.63
957,93,588.58
772,89,736.49
40,85,898.93
194,77,751.29
279,68,497.78
641,32,748.31
589,24,643.95
189,21,652.26
560,22,633.38
531,56,412.93
311,94,632.97
457,2,637.4
48,88,937.75
758,54,784.65
294,97,847.81
296,72,769.82
908,29,817.17
802,26,609.41
896,50,355.96
559,42,271.94
385,70,710.94
411,95,875.2
143,73,548.8
585,40,160.55
88,95,834.65
845,42,489.7
457,100,472.43
264,23,54.93
775,78,515.18
92,12,747.3
12,36,428.37
653,62,361.63
288,58,660.28
998,24,29.54
700,42,512.09
491,52,946.67
858,68,693.54
335,37,407.9
675,88,692.02
714,33,608.94
1,34,216.8
968,53,215.63
713,40,887.17
553,20,276.38
446,44,84.14
105,15,832.37
568,64,527.97
397,62,374.53
818,30,516.4
24,52,739.36
49,9,176.87
25,47,656.54
93,6,716.3
450,36,816.85
885,4,277.06
960,32,613.57
325,65,239.79
120,8,565.43
305,40,180.64
939,47,791.87
627,21,868.05
661,26,336.35
432,64,230.1
607,35,964.15
616,96,709.62
518,34,845.35
801,46,40.23
603,96,900.4
652,72,626.23
290,48,323.36
783,35,437.45
643,39,763.98
286,59,787.56
958,49,198.0
970,11,629.63
442,67,173.97
160,56,973.32
925,91,449.14
28,83,914.01
929,23,730.97
135,40,610.2
119,93,269.36
436,56,531.33
522,39,147.23
275,90,146.72
61,47,718.59
31,31,367.48
395,23,753.86
656,83,248.09
828,37,720.98
423,4,721.29
857,82,312.44
650,68,115.32
391,69,403.04
279,94,497.44
577,33,108.97
784,69,194.89
927,31,64.79
152,33,601.54
633,20,889.99
662,95,224.39
736,18,44.37
427,15,706.88
19,44,816.76
576,82,964.48
644,95,617.05
432,72,349.02
343,43,839.49
687,12,126.89
971,98,695.71
800,50,104.28
493,75,405.71
767,5,500.07
710,65,384.12
943,61,176.91
720,78,239.4
182,80,821.95
900,32,467.95
150,61,584.13
510,9,219.79
933,58,717.79
71,24,336.82
368,97,597.68
917,40,910.39
608,11,994.45
949,79,55.76
612,77,799.47
131,43,859.01
684,58,326.38
907,16,389.32
216,54,584.45
522,81,919.65
691,61,405.93
14,60,881.23
622,85,760.97
291,6,160.75
722,34,914.54
249,33,25.03
429,74,153.73
168,95,668.16
309,86,66.55
411,6,385.69
763,41,138.68
449,45,468.26
816,16,841.58
844,17,907.02
324,69,45.11
47,27,70.24
149,59,842.22
584,2,52.39
620,37,280.85
998,81,126.26
38,74,100.13
104,5,37.35
541,76,641.14
897,91,747.17
131,28,689.9
888,49,847.17
966,73,666.39
24,85,395.8
612,72,634.75
454,15,969.9
531,35,645.19
711,54,250.66
585,10,69.58
275,22,935.81
878,68,594.59
403,88,356.12
22,17,609.3
903,28,564.66
507,56,526.95
777,48,70.2
41,70,359.7
275,6,418.52
5,91,207.37
807,25,881.3
774,2,429.88
736,61,665.76
26,92,716.41
769,26,745.85
617,72,723.9
766,3,754.69
873,32,259.06
727,55,976.64
931,4,159.5
853,35,919.46
421,63,856.02
85,19,853.64
447,21,62.28
300,14,100.31
170,7,814.93
689,10,474.48
232,60,376.55
28,91,984.84
667,30,49.72
715,62,536.15
318,13,448.92
855,100,136.92
13,63,401.24
696,44,710.57
527,60,883.49
770,36,34.37
990,94,529.26
553,10,99.47
403,95,802.39
985,11,94.93
744,88,43.85
886,81,390.39
970,20,735.28
610,25,320.07
870,62,138.7
341,5,796.63
421,10,808.85
779,77,857.3
825,94,310.71
435,44,430.58
355,12,252.94
204,23,561.61
593,88,336.81
426,33,345.28
132,87,785.79
607,33,956.73
573,27,588.3
136,35,113.64
387,38,656.05
517,10,454.13
497,25,988.15
882,56,722.19
470,34,836.44
283,15,704.27
924,59,540.26
851,28,897.85
160,73,833.3
901,40,298.41
532,14,165.46
175,73,376.65
683,13,525.87
245,78,106.41
944,91,351.93
842,21,579.16
290,47,53.14
821,91,816.8
757,57,654.61
906,71,320.51
435,68,305.34
650,96,359.09
111,53,332.04
934,68,751.03
624,9,506.05
701,49,530.87
19,33,157.27
661,24,915.27
107,53,332.32
96,78,334.29
790,25,78.16
138,17,979.62
184,1,484.9
656,54,913.76
324,36,928.34
371,78,970.05
254,22,817.47
588,29,926.19
204,83,923.07
953,17,803.35
883,8,143.24
335,13,528.47
37,6,579.85
610,24,992.57
350,50,786.11
809,27,705.89
719,60,749.18
986,36,367.96
333,28,942.89
424,71,647.07
784,23,408.55
789,46,469.93
832,13,979.96
845,32,536.81
108,71,176.12
262,71,156.87
892,31,690.37
660,26,567.15
125,33,907.74
614,75,192.75
620,79,417.0
166,18,730.68
365,48,59.6
305,19,108.23
467,23,550.25
153,28,273.07
695,38,115.87
674,3,269.08
697,6,635.82
17,96,531.11
55,39,87.71
918,93,82.08
368,15,852.12
387,66,646.81
176,99,181.63
631,29,863.22
3,77,31.63
184,70,374.42
685,93,849.15
539,87,713.18
679,25,290.91
424,90,892.37
476,78,602.1
525,97,866.84
712,80,893.87
318,96,431.19
575,15,678.84
375,82,549.03
170,4,945.29
221,22,800.18
890,12,728.56
191,1,815.89
133,85,998.18
977,83,264.0
890,13,209.35
993,71,749.31
208,58,772.63
137,13,519.14
599,61,492.21
112,71,409.71
902,71,883.87
124,89,798.27
331,44,588.75
768,48,49.72
457,64,852.63
868,56,463.87
726,90,197.86
421,57,306.36
705,29,694.42
229,92,15.45
915,42,128.84
264,39,309.63
723,83,888.32
116,27,749.39
192,33,971.08
17,88,547.6
751,43,576.25
711,93,555.86
645,43,530.37
580,73,546.62
72,56,820.38
35,18,953.84
652,9,414.22
807,63,633.67
169,31,314.68
168,65,308.89
410,3,511.25
114,93,590.4
298,97,554.49
519,80,976.81
335,26,171.34
920,13,640.3
141,43,994.59
891,48,738.77
748,13,570.25
803,70,374.68
498,37,408.12
375,55,937.16
965,36,896.38
967,87,672.98
841,99,899.76
204,42,925.91
126,69,847.88
150,6,389.58
474,40,469.72
599,19,797.95
196,32,378.91
611,34,751.87
412,46,486.61
853,62,343.18
919,27,461.59
464,22,125.34
70,80,360.95
194,61,421.04
274,48,27.98
888,67,180.35
351,7,267.63
418,50,859.31
139,17,593.68
594,41,294.27
796,89,997.75
695,74,265.34
358,13,518.65
815,7,742.12
827,15,694.41
212,69,439.17
288,11,779.23
784,21,490.94
858,5,718.31
452,69,496.46
841,88,971.78
751,65,719.02
188,76,100.46
968,63,138.18
122,68,966.85
818,97,236.94
257,29,35.87
728,1,260.69
120,80,484.99
813,61,952.65
879,28,405.14
11,7,726.27
568,92,836.02
685,50,98.27
126,95,615.77
366,27,995.83
908,99,554.1
534,3,539.14
248,95,353.24
490,99,946.64
227,56,969.9
130,94,112.14
149,97,557.31
171,57,425.43
740,9,674.93
883,7,127.46
836,68,272.68
241,14,285.97
340,25,484.92
843,46,795.35
603,1,859.27
322,63,788.56
866,32,680.04
595,58,96.32
309,99,395.82
119,18,672.01
450,75,301.31
210,76,512.74
418,10,906.03
342,66,125.0
92,79,855.34
76,55,114.77
920,59,392.5
994,82,906.34
585,32,209.19
907,56,525.54
961,16,422.44
699,44,889.07
569,11,992.14
73,81,295.71
154,95,497.55
100,70,896.06
335,82,549.35
916,15,222.48
226,87,762.07
153,61,343.72
486,6,491.11
495,15,18.48
137,46,989.08
998,67,660.71
984,38,926.55
922,24,969.0
845,4,274.86
574,59,545.13
955,51,445.85
809,88,762.26
577,93,843.96
690,24,236.27
421,98,281.82
184,61,709.2
